class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
1,x,s,n,TRUE,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
0,x,s,y,TRUE,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
0,b,s,w,TRUE,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
1,x,y,w,TRUE,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
0,x,s,g,FALSE,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
0,x,y,y,TRUE,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
0,b,s,w,TRUE,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
0,b,y,w,TRUE,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
1,x,y,w,TRUE,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
0,b,s,y,TRUE,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
0,x,y,y,TRUE,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
0,x,y,y,TRUE,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
0,b,s,y,TRUE,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
1,x,y,w,TRUE,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
0,x,f,n,FALSE,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g
0,s,f,g,FALSE,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u
0,f,f,w,FALSE,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
